,Avg,Max,Min
Adelaide,17.3,23.3,11.4
Alice Springs,21.0,28.0,11.0
Brisbane,21.4,25.8,16.0
Cairns,25.0,27.0,21.0
Canberra,13.1,20.6,5.7
Dampier,26.4,31.3,19.8
Darwin,27.6,29.3,25.0
Hobart,12.7,16.9,8.2
Melbourne,15.1,20.2,9.8
Perth,18.7,24.9,13.0
Sydney,17.7,22.3,12.2
Hanga Roa,20.5,23.7,17.9
Suva,25.6,27.6,23.7
Auckland,15.2,19.7,10.9
Christchurch,12.2,17.5,6.6
Dunedin,11.1,15.3,6.6
Hamilton,13.8,18.8,8.9
Lake Tekapo,8.7,15.2,1.4
Napier,14.6,19.5,9.4
Palmerston North,13.2,18.3,8.6
Tauranga,14.8,19.6,10.2
Wellington,12.9,17.2,8.9
Port Moresby,26.9,27.8,25.7
Honiara,26.5,26.8,26.1
Honolulu,25.4,27.8,22.9
Port Vila,24.3,26.5,22.0
