,Name,Country,Population
45,Hangzhou,China,7845501
46,Hong Kong,Hong Kong,7598189
47,Surat,India,7489742
48,Dongguan,China,7451889
49,Suzhou,China,7427096
50,Foshan,China,7406751
51,Riyadh,Saudi Arabia,7387817
52,Shenyang,China,7373655
53,Baghdad,Iraq,7323079
54,Dar es Salaam,Tanzania,7046892
55,Santiago,Chile,6811595
56,Pune,India,6807984
57,Madrid,Spain,6668865
58,Haerbin,China,6526439
59,Toronto,Canada,6254571
60,Belo Horizonte,Brazil,6139774
61,Singapore,Singapore,5991801
62,Khartoum,Sudan,5989024
63,Johannesburg,South Africa,5926668
64,Dalian,China,5775938
65,Qingdao,China,5742486
66,Barcelona,Spain,5624498
67,Fukuoka,Japan,5516158
68,Ji-nan Shandong,China,5513597
69,Zhengzhou,China,5510341
70,Saint Petersburg,Russia,5504305
71,Yangon,Myanmar,5421806
72,Alexandria,Egypt,5381101
73,Abidjan,Ivory Coast,5354826
74,Guadalajara,Mexico,5259296
75,Ankara,Turkey,5215747
76,Chittagong,Bangladesh,5132751
77,Melbourne,Australia,5061439
78,Addis Ababa,Ethiopia,5005524
79,Sydney,Australia,4991654
80,Monterrey,Mexico,4955506
81,Nairobi,Kenya,4922192
82,Hanoi,Vietnam,4874982
83,Brasilia,Brazil,4727902
84,Cape Town,South Africa,4709990
85,Jiddah,Saudi Arabia,4696535
86,Changsha,China,4694722
87,Kunming,China,4550831
88,Urumqi,China,4543684
89,Changchun,China,4520695
90,Xinbei,Taiwan,4434905
91,Shantou,China,4407928
92,Hefei,China,4371005
93,Kabul,Afghanistan,4335770
94,Rome,Italy,4278350
95,Ningbo,China,4263843
96,Tel Aviv,Israel,4263745
97,Montreal,Canada,4247446
98,Shijiazhuang,China,4199392
99,Recife,Brazil,4174774
100,Yaounde,Cameroon,4164167
101,Porto Alegre,Brazil,4160682
102,Fortaleza,Brazil,4119633
103,Kano,Nigeria,4103015
104,Medellin,Colombia,4033783
105,Jaipur,India,4007505
106,Los Angeles,United States,3983540
107,Taiyuan Shanxi,China,3975985
108,Nanning,China,3974322
109,Ekurhuleni,South Africa,3969937
110,Salvador,Brazil,3880314
111,Casablanca,Morocco,3793585
112,Douala,Cameroon,3793363
113,Xiamen,China,3790792
114,Lucknow,India,3764619
115,Fuzhou Fujian,China,3764559
116,Changzhou,China,3749712
117,Kozhikode,India,3742198
118,Curitiba,Brazil,3726050
119,Wenzhou,China,3725342
120,Nanchang,China,3709958
121,Ibadan,Nigeria,3649023
122,Malappuram,India,3608928
123,Berlin,Germany,3566791
124,Tangshan Hebei,China,3562719
125,Faisalabad,Pakistan,3542020
126,Antananarivo,Madagascar,3531887
127,Bekasi,Indonesia,3510050
128,Kumasi,Ghana,3490030
129,Kampala,Uganda,3469510
130,Busan,South Korea,3465946
131,Abuja,Nigeria,3464123
132,Guiyang,China,3407463
133,Asuncion,Paraguay,3394309
134,Santo Domingo,Dominican Republic,3388809
135,Campinas,Brazil,3343816
136,Wuxi,China,3315113
137,Mashhad,Iran,3264101
138,Puebla,Mexico,3244710
139,Dakar,Senegal,3229800
140,Thrissur,India,3212604
141,Kochi,India,3193029
142,Kuwait City,Kuwait,3177315
143,Durban,South Africa,3176254
144,Port Harcourt,Nigeria,3171076
145,Lanzhou,China,3153808
146,Kanpur,India,3153425
147,Athens,Greece,3153255
148,Milan,Italy,3144473
149,Indore,India,3113445
150,Pyongyang,North Korea,3108108
151,Sanaa,Yemen,3075257
152,Guayaquil,Ecuador,3042941
153,Izmir,Turkey,3024020
154,Kiev,Ukraine,3000604
